函数,描述
jieba.lcut(s),"精确模式，返回一个列表类型的分词结果
>>>jieba.lcut(""中国是一个伟大的国家"")
['中国', '是', '一个', '伟大', '的', '国家']"
"jieba.lcut(s,
cut_all=True)","全模式，返回一个列表类型的分词结果，存在冗余
>>>jieba.lcut(""中国是一个伟大的国家"",cut_all=True)
['中国', '国是', '一个', '伟大', '的', '国家']"
