操作方法,描述
<f>.write(s),"向文件写入一个字符串或字节流
>>>f.write(""中国是一个伟大的国家!"")"
<f>.writelines(lines),"将一个元素全为字符串的列表写入文件
>>>ls = [""中国"", ""法国"", ""美国""]
>>>f.writelines(ls)
中国法国美国"
