函数和方法,描述
len(s),返回序列s的长度
min(s),返回序列s的最小元素，s中元素需要可比较
max(s),返回序列s的最大元素，s中元素需要可比较
"s.index(x) 或
s.index(x, i, j)",返回序列s从i开始到j位置中第一次出现元素x的位置
s.count(x),返回序列s中出现x的总次数
