函数及使用,描述
abs(x),"绝对值，x的绝对值
abs(-10.01) 结果为 10.01"
"divmod(x,y)","商余，(x//y, x%y)，同时输出商和余数
divmod(10, 3) 结果为 (3, 1)"
"pow(x, y[, z])","幂余，(x**y)%z，[..]表示参数z可省略
pow(3, pow(3, 99), 10000) 结果为 4587"
