函数及使用,描述
int(x),"将x变成整数，舍弃小数部分
int(123.45) 结果为123； int(""123"") 结果为123"
float(x),"将x变成浮点数，增加小数部分
float(12) 结果为12.0； float(""1.23"") 结果为1.23"
complex(x),"将x变成复数，增加虚数部分
complex(4) 结果为 4 + 0j"
