函数或方法,描述
"d.get(k, <default>)",键k存在，则返回相应值，不在则返回<default>值
"d.pop(k, <default>)",键k存在，则取出相应值，不在则返回<default>值
d.popitem(),随机从字典d中取出一个键值对，以元组形式返回
d.clear(),删除所有的键值对
len(d),返回字典d中元素的个数
