操作符及应用,描述
x in s,如果x是序列s的元素，返回True，否则返回False
x not in s,如果x是序列s的元素，返回False，否则返回True
s + t,连接两个序列s和t
s*n 或 n*s,将序列s复制n次
s[i],索引，返回s中的第i个元素，i是序列的序号
s[i: j] 或 s[i: j: k],切片，返回序列s中第i到j以k为步长的元素子序列
