操作函数或方法,描述
S.add(x),如果x不在集合S中，将x增加到S
S.discard(x),移除S中元素x，如果x不在集合S中，不报错
S.remove(x),移除S中元素x，如果x不在集合S中，产生KeyError异常
S.clear(),移除S中所有元素
S.pop(),随机返回S的一个元素，更新S，若S为空产生KeyError异常
