函数,描述
seed(a=None),"初始化给定的随机数种子，默认为当前系统时间
>>>random.seed(10) #产生种子10对应的序列"
random(),"生成一个[0.0, 1.0)之间的随机小数
>>>random.random()
0.5714025946899135"
