方法及使用 2/3,描述
"str.replace(old, new)","返回字符串str副本，所有old子串被替换为new
""python"".replace(""n"",""n123.io"") 结果为
""python123.io"""
"str.center(width[,fillchar])","字符串str根据宽度width居中，fillchar可选
""python"".center(20,""="") 结果为
'=======python======='"
