方法及使用 3/3,描述
str.strip(chars),"从str中去掉在其左侧和右侧chars中列出的字符
""= python= "".strip("" =np"") 结果为
""ytho"""
str.join(iter),"在iter变量除最后元素外每个元素后增加一个str
"","".join(""12345"") 结果为
""1,2,3,4,5"" #主要用于字符串分隔等"
