函数或方法,描述
del d[k],删除字典d中键k对应的数据值
k in d,判断键k是否在字典d中，如果在返回True，否则False
d.keys(),返回字典d中所有的键信息
d.values(),返回字典d中所有的值信息
d.items(),返回字典d中所有的键值对信息
