操作符及应用,描述
S |= T,更新集合S，包括在集合S和T中的所有元素
S -= T,更新集合S，包括在集合S但不在T中的元素
S &= T,更新集合S，包括同时在集合S和T中的元素
S ^= T,更新集合S，包括集合S和T中的非相同元素
