设计名称,趋势,设计函数
Power,Speeds up,f(x) = (x+(1-x)*0.03)2
Inverse Power,Slows down,f(x) =1+(1-x)1.5 *-1
Fast Power,Speeds up,f(x) = (x+(1-x)/2)8
Inverse Fast Power,Slows down,f(x) = 1+(1-x)3 *-1
