函数,描述
os.path.getatime(path),"返回path对应文件或目录上一次的访问时间
>>>os.path.getatime(""D:/PYE/file.txt"")
1518356633.7551725"
os.path.getmtime(path),"返回path对应文件或目录最近一次的修改时间
>>>os.path.getmtime(""D:/PYE/file.txt"")
1518356633.7551725"
os.path.getctime(path),"返回path对应文件或目录的创建时间
>>time.ctime(os.path.getctime(""D:/PYE/file.txt""))
'Sun Feb 11 21:43:53 2018'"
