分类,国际BMI值 (kg/m2),国内BMI值 (kg/m2)
偏瘦,<18.5,<18.5
正常,18.5 ~ 25,18.5 ~ 24
偏胖,25 ~ 30,24 ~ 28
肥胖,≥30,≥28
