参数,描述
mask,"指定词云形状，默认为长方形，需要引用imread()函数
>>>from scipy.misc import imread
>>>mk=imread(""pic.png"")
>>>w=wordcloud.WordCloud(mask=mk)"
background_color,"指定词云图片的背景颜色，默认为黑色
>>>w=wordcloud.WordCloud(background_color=""white"")"
