操作符及应用,描述
S | T,返回一个新集合，包括在集合S和T中的所有元素
S - T,返回一个新集合，包括在集合S但不在T中的元素
S & T,返回一个新集合，包括同时在集合S和T中的元素
S ^ T,返回一个新集合，包括集合S和T中的非相同元素
S <= T 或 S < T,返回True/False，判断S和T的子集关系
S >= T 或 S > T,返回True/False，判断S和T的包含关系
