函数,描述
choice(seq),"从序列seq中随机选择一个元素
>>>random.choice([1,2,3,4,5,6,7,8,9])
8"
shuffle(seq),"将序列seq中元素随机排列，返回打乱后的序列
>>>s=[1,2,3,4,5,6,7,8,9];random.shuffle(s);print(s)
[3, 5, 8, 9, 6, 1, 2, 7, 4]"
