函数,描述
time(),"获取当前时间戳，即计算机内部时间值，浮点数
>>>time.time()
1516939876.6022282"
ctime(),"获取当前时间并以易读方式表示，返回字符串
>>>time.ctime()
'Fri Jan 26 12:11:16 2018'"
