文件的打开模式,描述
'r',只读模式，默认值，如果文件不存在，返回FileNotFoundError
'w',覆盖写模式，文件不存在则创建，存在则完全覆盖
'x',创建写模式，文件不存在则创建，存在则返回FileExistsError
'a',追加写模式，文件不存在则创建，存在则在文件最后追加内容
'b',二进制文件模式
't',文本文件模式，默认值
'+',与r/w/x/a一同使用，在原功能基础上增加同时读写功能
