函数,描述
"jieba.lcut_for_sear
ch(s)","搜索引擎模式，返回一个列表类型的分词结果，存在冗余
>>>jieba.lcut_for_search(“中华人民共和国是伟大的"")
['中华', '华人', '人民', '共和', '共和国', '中华人民共
和国', '是', '伟大', '的']"
jieba.add_word(w),"向分词词典增加新词w
>>>jieba.add_word(""蟒蛇语言"")"
