函数及使用,描述
len(x),"长度，返回字符串x的长度
len(""一二三456"") 结果为 6"
str(x),"任意类型x所对应的字符串形式
str(1.23)结果为""1.23"" str([1,2])结果为""[1,2]"""
hex(x) 或 oct(x),"整数x的十六进制或八进制小写形式字符串
hex(425)结果为""0x1a9"" oct(425)结果为""0o651"""
