操作方法,描述
<f>.read(size=-1),"读入全部内容，如果给出参数，读入前size长度
>>>s = f.read(2)
中国"
<f>.readline(size=-1),"读入一行内容，如果给出参数，读入该行前size长度
>>>s = f.readline()
中国是一个伟大的国家！"
