格式化字符串,日期/时间说明,值范围和实例
%a,星期缩写,Mon~Sun，例如：Wed
%H,小时（24h制）,00~23，例如：12
%h,小时（12h制）,01~12，例如：7
%p,上/下午,"AM, PM，例如：PM"
%M,分钟,00~59，例如：26
%S,秒,00~59，例如：26
