函数及使用,描述
"round(x[, d])","四舍五入，d是保留小数位数，默认值为0
round(-10.123, 2) 结果为 -10.12"
"max(x ,x , … ,x )
1 2 n","最大值，返回x ,x , … ,x 中的最大值，n不限
1 2 n
max(1, 9, 5, 4 3) 结果为 9"
"min(x ,x , … ,x )
1 2 n","最小值，返回x ,x , … ,x 中的最小值，n不限
1 2 n
min(1, 9, 5, 4 3) 结果为 1"
